Date,AAPL,GOOG,MSFT,AMZN,FB
2020-09-21,109.72644805908203,1431.1600341796875,201.5469207763672,2960.469970703125,248.14999389648438
2020-09-22,111.45088195800781,1465.4599609375,206.40298461914062,3128.989990234375,254.75
2020-09-23,106.77596282958984,1415.2099609375,199.60647583007812,2999.860107421875,249.02000427246094
2020-09-24,107.87242126464844,1428.2900390625,202.19374084472656,3019.7900390625,249.52999877929688
2020-09-25,111.91937255859375,1444.9599609375,206.80104064941406,3095.1298828125,254.82000732421875
2020-09-28,114.59076690673828,1464.52001953125,208.41310119628906,3174.050048828125,256.82000732421875
2020-09-29,113.72356414794922,1469.3299560546875,206.2437744140625,3144.8798828125,261.7900085449219
2020-09-30,115.43804168701172,1469.5999755859375,209.29872131347656,3148.72998046875,261.8999938964844
2020-10-01,116.4148941040039,1490.0899658203125,211.4182891845703,3221.260009765625,266.6300048828125
2020-10-02,112.6570053100586,1458.4200439453125,205.1790313720703,3125.0,259.94000244140625
2020-10-05,116.12582397460938,1486.02001953125,209.34849548339844,3199.199951171875,264.6499938964844
2020-10-06,112.79655456542969,1453.43994140625,204.90040588378906,3099.9599609375,258.6600036621094
2020-10-07,114.71038818359375,1460.2900390625,208.80117797851562,3195.68994140625,258.1199951171875
2020-10-08,114.60073852539062,1485.9300537109375,209.54751586914062,3190.550048828125,263.760009765625
2020-10-09,116.59431457519531,1515.219970703125,214.75186157226562,3286.64990234375,264.45001220703125
2020-10-12,124.00045776367188,1569.1500244140625,220.314453125,3442.929931640625,275.75
2020-10-13,120.71104431152344,1571.6800537109375,221.7672882080078,3443.6298828125,276.1400146484375
2020-10-14,120.80076599121094,1568.0799560546875,219.777099609375,3363.7099609375,271.82000732421875
2020-10-15,120.32230377197266,1559.1300048828125,218.58299255371094,3338.64990234375,266.7200012207031
2020-10-16,118.63772583007812,1573.010009765625,218.58299255371094,3272.7099609375,265.92999267578125
2020-10-19,115.60749816894531,1534.6099853515625,213.16966247558594,3207.2099609375,261.3999938964844
2020-10-20,117.1325912475586,1555.9300537109375,213.5975341796875,3217.010009765625,267.55999755859375
2020-10-21,116.49464416503906,1593.31005859375,213.746826171875,3184.93994140625,278.7300109863281
2020-10-22,115.37823486328125,1615.3299560546875,213.83636474609375,3176.39990234375,278.1199951171875
2020-10-23,114.67051696777344,1641.0,215.1697998046875,3204.39990234375,284.7900085449219
2020-10-26,114.68048858642578,1590.449951171875,209.04995727539062,3207.0400390625,277.1099853515625
2020-10-27,116.22550964355469,1604.260009765625,212.2044219970703,3286.330078125,283.2900085449219
2020-10-28,110.84284973144531,1516.6199951171875,201.6862335205078,3162.780029296875,267.6700134277344
2020-10-29,114.94961547851562,1567.239990234375,203.7162322998047,3211.010009765625,280.8299865722656
2020-10-30,108.51036071777344,1621.010009765625,201.47727966308594,3036.14990234375,263.1099853515625
2020-11-02,108.420654296875,1626.030029296875,201.33795166015625,3004.47998046875,261.3599853515625
2020-11-03,110.08528900146484,1650.2099609375,205.4178466796875,3048.409912109375,265.29998779296875
2020-11-04,114.58080291748047,1749.1300048828125,215.32901000976562,3241.159912109375,287.3800048828125
2020-11-05,118.64769744873047,1763.3699951171875,222.1951904296875,3322.0,294.67999267578125
2020-11-06,118.51290893554688,1761.75,222.62307739257812,3311.3701171875,293.4100036621094
2020-11-09,116.14643859863281,1763.0,217.3192138671875,3143.739990234375,278.7699890136719
2020-11-10,115.79696655273438,1740.3900146484375,209.9753875732422,3035.02001953125,272.42999267578125
2020-11-11,119.31170654296875,1752.7099609375,215.4882354736328,3137.389892578125,276.4800109863281
2020-11-12,119.0321273803711,1749.8399658203125,214.38368225097656,3110.280029296875,275.0799865722656
2020-11-13,119.0820541381836,1777.02001953125,215.44842529296875,3128.81005859375,276.95001220703125
2020-11-16,120.1205062866211,1781.3800048828125,216.16490173339844,3131.06005859375,278.9599914550781
2020-11-17,119.21186065673828,1770.1500244140625,213.4084930419922,3135.659912109375,275.0
2020-11-18,117.85388946533203,1746.780029296875,210.594970703125,3105.4599609375,271.9700012207031
2020-11-19,118.46298217773438,1763.9200439453125,211.931884765625,3117.02001953125,272.94000244140625
2020-11-20,117.1649169921875,1742.18994140625,209.90655517578125,3099.39990234375,269.70001220703125
2020-11-23,113.68012237548828,1734.8599853515625,209.627197265625,3098.389892578125,268.42999267578125
2020-11-24,114.99815368652344,1768.8800048828125,213.3685760498047,3118.06005859375,276.9200134277344
2020-11-25,115.85687255859375,1771.4300537109375,213.37855529785156,3185.070068359375,275.5899963378906
2020-11-27,116.41603088378906,1793.18994140625,214.7354278564453,3195.340087890625,277.80999755859375
2020-11-30,118.87236785888672,1760.739990234375,213.57809448242188,3168.0400390625,276.9700012207031
2020-12-01,122.53689575195312,1798.0999755859375,215.7131805419922,3220.080078125,286.54998779296875
2020-12-02,122.89635467529297,1827.949951171875,214.87510681152344,3203.530029296875,287.5199890136719
2020-12-03,122.7565689086914,1826.77001953125,213.74771118164062,3186.72998046875,281.8500061035156
2020-12-04,122.06759643554688,1827.989990234375,213.867431640625,3162.580078125,279.70001220703125
2020-12-07,123.56535339355469,1819.47998046875,213.79757690429688,3158.0,285.5799865722656
2020-12-08,124.19441223144531,1818.550048828125,215.5136260986328,3177.2900390625,283.3999938964844
2020-12-09,121.5982894897461,1784.1300048828125,211.3133087158203,3104.199951171875,277.9200134277344
2020-12-10,123.05611419677734,1775.3299560546875,210.0362548828125,3101.489990234375,277.1199951171875
2020-12-11,122.22735595703125,1781.77001953125,212.7699432373047,3116.419921875,273.54998779296875
